sciname_match,aphia_id,sciname_query
Pseudostichopus occultatus,124587,Pseudostichopus occulatatus
Synallactes crebrapapilla,242067,Synallactes crebrapapilla
NA,NA,Holothuria dakarensis
NA,NA,Holothuria mammosa
Protosalanx chinensis,315354,Protosalanx chinensis
NA,NA,Cynoglossus feldmanni
NA,NA,Minyclupeoides dentibranchialus
Arius gigas,275573,Arius gigas
NA,NA,Atherinella crystallina
Morrisonietta gracilis,1326200,Morrisonietta gracilis
Stenothyra labiata,820053,Stenothyra labiata
Stenothyra glabrata,820059,Stenothyra glabrata
NA,NA,Gyraulus hubendicki
Iravadia reticulata,607237,Iravadia reticulata
Stenothyra schlickumi,820061,Stenothyra schlickumi
Morrisonietta krungtepensis,1326197,Morrisonietta krungtepensis
Stenothyra prasongi,820066,Stenothyra prasongi
NA,NA,Rehderiella parva
Stenothyra maculata,820062,Stenothyra maculata
Stenothyra hardouini,820067,Stenothyra hardouini
Auriculastra elongata,1468520,Auriculastra elongata
Stenothyra cyrtochila,820057,Stenothyra cyrtochila
Stenothyra acuta,820058,Stenothyra acuta
NA,NA,Clenchiella microscopica
Iravadia rohdei,607266,Iravadia rohdei
Iravadia cochinchinensis,607263,Iravadia cochinchinensis
Eucinostomus lefroyi,159734,Eucinostomus lefroyi
Psilotris batrachodes,282490,Psilotris batrachodes
Psilotris celsus,282492,Psilotris celsus
Psilotris amblyrhynchus,282489,Psilotris amblyrhynchus
Varicus imswe,283136,Varicus imswe
NA,NA,Sicydium punctatum
Moolgarda seheli,309766,Moolgarda seheli
Moolgarda buchanani,309760,Moolgarda buchanani
Yongeichthys nebulosus,219605,Yongeichthys nebulosus
NA,NA,Leporinus copelandii
NA,NA,Stictorhinus potamius
NA,NA,Phalloptychus iheringii
NA,NA,Megaleporinus conirostris
NA,NA,Jenynsia lineata
NA,NA,Atlantirivulus jurubatibensis
NA,NA,Schizodon jacuiensis
NA,NA,Paragenidens grandoculis
NA,NA,Leporinus piau
NA,NA,Hypomasticus mormyrops
NA,NA,Pseudobagarius similis
Sillaginopsis domina,315632,Sillaginopsis domina
NA,NA,Amblypomacentrus kuiteri
Abudefduf luridus,126999,Abudefduf luridus
NA,NA,Amblypomacentrus tricinctus
Stegastes trindadensis,276686,Stegastes trindadensis
Amblypomacentrus annulatus,1865534,Amblypomacentrus annulatus
NA,NA,Assiminea borneensis
Melanopsis trifasciata,581167,Melanopsis trifasciata
Laevicaspia caspia,1332981,Laevicaspia caspia
NA,NA,Heleobops docima
Neritina granosa,737527,Neritina granosa
Sepia ramani,438903,Sepia ramani
Ariopsis assimilis,308392,Ariopsis assimilis
Notarius quadriscutis,713067,Notarius quadriscutis
Astroscopus y-graecum,1621411,Astroscopus y-graecum
Asperoteuthis nesisi,456797,Asperoteuthis nesisi
Kondakovia nigmatullini,548889,Kondakovia nigmatullini
Atractosteus spatula,279822,Atractosteus spatula
Lepisosteus oculatus,275402,Lepisosteus oculatus
NA,NA,Atherinella alvarezi
NA,NA,Batrachoides goldmani
