sciname_match,aphia_id,sciname_query
Xyrichtys trivittatus,273609,Xyrichtys trivittatus
NA,NA,Cysticus gutta
NA,NA,Cysticus josephinae
Eussoia leptodonta,405006,Eussoia leptodonta
Tomichia tristis,405099,Tomichia tristis
Flabellum daphnense,1288888,Flabellum daphnense
Ectochaete perforans,404162,Ectochaete perforans
Rhizoclonium robustum,404159,Rhizoclonium robustum
Desmarestia tropica,375493,Desmarestia tropica
Dictyopteris diaphana,375489,Dictyopteris diaphana
Dictyota galapagensis,377140,Dictyota galapagensis
Dictyota major,220785,Dictyota major
Padina concrescens,375491,Padina concrescens
Spatoglossum ecuadoreanum,375486,Spatoglossum ecuadoreanum
Spatoglossum schmittii,375487,Spatoglossum schmittii
Zosterocarpus abyssicola,375482,Zosterocarpus abyssicola
Bifurcaria galapagensis,374785,Bifurcaria galapagensis
Sargassum albemarlense,375500,Sargassum albemarlense
Sargassum galapagense,495137,Sargassum galapagense
Sargassum setifolium,404138,Sargassum setifolium
Sargassum templetonii,495138,Sargassum templetonii
Eisenia galapagensis,375494,Eisenia galapagensis
Sporochnus rostratus,375492,Sporochnus rostratus
Asparagopsis svedelii,375507,Asparagopsis svedelii
Antithamnion veleroae,376428,Antithamnion veleroae
Callithamnion ecuadoreanum,376425,Callithamnion ecuadoreanum
Callithamnion epiphyticum,376426,Callithamnion epiphyticum
Ceramium hoodii,376448,Ceramium hoodii
Ceramium howellii,375547,Ceramium howellii
Ceramium prostratum,377025,Ceramium prostratum
Ceramium templetonii,377051,Ceramium templetonii
Pleonosporium complanatum,376447,Pleonosporium complanatum
Acrosorium papenfussii,376452,Acrosorium papenfussii
Austrofolium equatorianum,375722,Austrofolium equatorianum
Austrofolium howellii,375723,Austrofolium howellii
Myriogramme kylinii,376449,Myriogramme kylinii
Nitophyllum divaricatum,376451,Nitophyllum divaricatum
Phycodrina elegans,376177,Phycodrina elegans
Pseudolaingia hancockii,373889,Pseudolaingia hancockii
Alsidium pusillum,374155,Alsidium pusillum
Chondria flexicaulis,376459,Chondria flexicaulis
Laurencia congesta,376457,Laurencia congesta
Laurencia densissima,376975,Laurencia densissima
Laurencia ligulata,376998,Laurencia ligulata
Laurencia mediocris,404085,Laurencia mediocris
Laurencia oppositocladia,376458,Laurencia oppositocladia
Pterosiphonia paucicorticata,404156,Pterosiphonia paucicorticata
Amphiroa compressa,375528,Amphiroa compressa
Amphiroa crustiformis,376971,Amphiroa crustiformis
Amphiroa galapagensis,375526,Amphiroa galapagensis
Archaeolithothamnion crosslandii,404074,Archaeolithothamnion crosslandii
Goniolithon alternans,376547,Goniolithon alternans
Lithophyllum amplostratum,375516,Lithophyllum amplostratum
Lithophyllum complexum,375517,Lithophyllum complexum
Lithophyllum mutabile,375521,Lithophyllum mutabile
Lithophyllum rileyi,375520,Lithophyllum rileyi
Lithophyllum sancti-georgei,375519,Lithophyllum sancti-georgei
Tenarea erecta,375522,Tenarea erecta
Lithothamnion cottonii,375511,Lithothamnion cottonii
Lithothamnion pocillum,375512,Lithothamnion pocillum
Mesophyllum laxum,375514,Mesophyllum laxum
Chondrus albemarlensis,376422,Chondrus albemarlensis
Chondrus hancockii,376421,Chondrus hancockii
Kallymenia multiloba,376414,Kallymenia multiloba
Kallymenia setchellii,376413,Kallymenia setchellii
Pugetia latiloba,404158,Pugetia latiloba
Ahnfeltiopsis smithii,375714,Ahnfeltiopsis smithii
NA,NA,Ochtodes crokeri
NA,NA,Gracilaria ecuadoreanus
Gracilaria skottsbergii,375979,Gracilaria skottsbergii
Halymenia santamariae,376401,Halymenia santamariae
Pachymenia saxicola,376403,Pachymenia saxicola
Prionitis galapagensis,376411,Prionitis galapagensis
Prionitis hancockii,376410,Prionitis hancockii
Galaxaura barbata,375504,Galaxaura barbata
Galaxaura intermedia,375506,Galaxaura intermedia
Schizymenia ecuadoreana,372966,Schizymenia ecuadoreana
Sebdenia rubra,376417,Sebdenia rubra
Botryocladia darwinii,375089,Botryocladia darwinii
Rhodymenia decumbens,374130,Rhodymenia decumbens
NA,NA,Eunice viridis
NA,NA,Gibberula puntillum
NA,NA,Agathothoma finalis
Synagrops microlepis,276296,Synagrops microlepis
Spartina alterniflora,234072,Spartina alterniflora
NA,NA,Spergularia marina
Solea triophthalma,305864,Solea triophthalma
Monolene mertensi,1621422,Monolene mertensi
Dagetichthys lusitanica,1577834,Dagetichthys lusitanica
Trigloporus lastoviza,154462,Trigloporus lastoviza
NA,NA,Citharichthys uhleri
Synchiropus dagmarae,302275,Synchiropus dagmarae
Synagrops spinosus,159586,Synagrops spinosus
NA,NA,Membras argentea
Synagrops trispinosus,276299,Synagrops trispinosus
Foetorepus goodenbeani,159624,Foetorepus goodenbeani
Symphurus civitatium,159357,Symphurus civitatium
Paralichthys oblongus,308639,Paralichthys oblongus
NA,NA,Hydrobia balfouri
Scarus pyrrostethus,308985,Scarus pyrrostethus
NA,NA,Lepomis punctatus
Callimachus youngorum,550405,Callimachus youngorum
NA,NA,Hippopotamus amphibius
NA,NA,Allium telmatum
NA,NA,Puccinellia iberica
NA,NA,Garra persica
NA,NA,Rhamphicarpa medwedewii
NA,NA,Holothuria tuberculata
Perizona magna,528955,Perizona magna
NA,NA,Paelopatides gelatinosa
NA,NA,Allopatides dendroeides
NA,NA,Holothuria duoturriforma
Bathyplotes golden-hindi,529033,Bathyplotes golden-hindi
NA,NA,Mesothuria thomsoni
NA,NA,Holothuria casoae
NA,NA,Holothuria longicosta
Amphigymnas multipes,529191,Amphigymnas multipes
Holothuria huberti,529124,Holothuria huberti
Synallactes pellucidus,528962,Synallactes pellucidus
NA,NA,Holothuria manningi
Argiodia maculata,529277,Argiodia maculata
NA,NA,Holothuria nigralutea
Holothuria albifasciata,530262,Holothuria albifasciatus
Synallactes triplax,528829,Synallactes triplax
NA,NA,Holothuria austrinabassa
Mesothuria marginata,732435,Mesothuria marginata
Holothuria papillata,528764,Holothuria papillata
NA,NA,Holothuria altaturricula
NA,NA,Bathyplotes crenulata
NA,NA,Holothuria pseudonotabilis
Holothuria Rathbunii,732387,Holothuria rathbunii
NA,NA,Salmo coruhensis
Ariomma melanum,159593,Ariomma melanum
Howella simplex,304080,Howella simplex
Opisthoproctus grimaldii,126732,Opisthoproctus grimaldii
NA,NA,Metatrichoniscoides celticus
Cephaloscyllium sarawakensis,1592640,Cephaloscyllium sarawakensis
NA,NA,Spergularia bocconei
NA,NA,Pulicaria sicula
NA,NA,Lotus palustris
Bembrops greyi,276577,Bembrops greyi
Gonostoma elongatum,127296,Gonostoma elongatum
Cephalopholis furcifer,1577772,Cephalopholis furcifer
Conus cacao,224291,Conus cacao
Conus pseudocuneolus,225019,Conus pseudocuneolus
Hyporthodus chabaudi,1803577,Hyporthodus chabaudi
NA,NA,Neogale macrodon
Arctocephalus townsendi,255007,Arctocephalus townsendi
Arctocephalus forsteri,231420,Arctocephalus forsteri
Cephalopholis rogaa,218178,Cephalopholis rogaa
NA,NA,Mycteroperca epistictus
Chelon melinopterus,303795,Chelon melinopterus
Ilisha sirishai,1594930,Ilisha sirishai
Dagetichthys commersonnii,403342,Dagetichthys commersonnii
Hyporthodus drummondhayi,1803571,Hyporthodus drummondhayi
Acentronura dendritica,159442,Acentronura dendritica
Eugerres awlae,314368,Eugerres awlae
NA,NA,Marcusenius livingstonii
NA,NA,Menidia clarkhubbsi
Elacatinus rubrigenis,593475,Elacatinus rubrigenis
Elacatinus panamensis,593476,Elacatinus panamensis
Omobranchus lineolatus,311391,Omobranchus lineolatus
Symphodus melanocercus,273570,Symphodus melanocercus
Umbrina robinsoni,304420,Umbrina robinsoni
Maasella edwardsii,125420,Maasella edwardsi
Leiognathus equulus,218459,Leiognathus equulus
Paretroplus polyactis,1020098,Paretroplus polyactis
NA,NA,Sicydium brevifile
Notopterus notopterus,281795,Notopterus notopterus
NA,NA,Mystus abbreviatus
Cyclothone pseudoacclinidens,306627,Cyclothone pseudoacclinidens
Apagesoma delosommatus,1577706,Apagesoma delosommatus
Bathophilus metallicus,158847,Bathophilus metallicus
Melanostomias spilorhynchus,306749,Melanostomias spilorhynchus
NA,NA,Trigla macrodactylus
Erythrodiplax berenice,874583,Erythrodiplax berenice
NA,NA,Pseudophallus starksii
NA,NA,Carex lyngbyei
Carex paleacea,577503,Carex paleacea
NA,NA,Carex pluriflora
NA,NA,Carex subspathacea
NA,NA,Jaumea carnosa
NA,NA,Lilaeopsis occidentalis
NA,NA,Rhizophora mangle
NA,NA,Cociella crocodila
NA,NA,Dichichthys bigus
Repomucenus curvicornis,315466,Repomucenus curvicornis
Equulites berbis,1865516,Equulites berbis
NA,NA,Triglochin maritima
Sebastapistes pascuensis,1578134,Sebastapistes pascuensis
Cantherhines multilineatus,276252,Cantherhines multilineatus
Stephanolepis auratus,1621416,Stephanolepis auratus
NA,NA,Tamarix canariensis
NA,NA,Caliraja rhina
Plectorhinchus unicolor,273496,Plectorhinchus unicolor
Equetus lanceolatus,159315,Equetus lanceolatus
NA,NA,Cyprinodon riverendi
NA,NA,Cerberus australis
Assiminea cardonae,836399,Assiminea cardonae
NA,NA,Floridichthys polyommus
NA,NA,Menidia colei
NA,NA,Fundulus grandissimus
Chatrabus damaranus,313211,Chatrabus damaranus
NA,NA,Fundulus persimilis
Monopterus javanensis,314959,Monopterus javanensis
NA,NA,Dermogenys collettei
NA,NA,Datnioides microlepis
Gobiopterus birtwistlei,280899,Gobiopterus birtwistlei
Achiroides melanorhijnchus,403315,Achiroides melanorhijnchus
NA,NA,Glossogobius illimis
NA,NA,Lentipes adelphizonus
NA,NA,Sicyopterus cynocephalus
NA,NA,Sicyopus multisquamatus
NA,NA,Stiphodon semoni
NA,NA,Stiphodon zebrinus
NA,NA,Phallostethus dunckeri
Awaous litturatus,277422,Awaous litturatus
NA,NA,Awaous personatus
Lentipes whittenorum,281286,Lentipes whittenorum
NA,NA,Schismatogobius bruynisi
NA,NA,Schismatogobius marmoratus
NA,NA,Sicyopterus microcephalus
NA,NA,Sicyopterus parvei
NA,NA,Stiphodon carisa
NA,NA,Stiphodon maculidorsalis
NA,NA,Stiphodon ornatus
NA,NA,Pangio kuhlii
NA,NA,Neripteron simoni
NA,NA,Neritilia vulgaris
Neritina turrita,737532,Neritina turrita
NA,NA,Auriglobus modestus
Neritilia rubida,532053,Neritilia rubida
Clithon fuliginosum,873239,Clithon fuliginosum
Lobodon carcinophaga,231416,Lobodon carcinophaga
Lontra provocax,343993,Lontra provocax
NA,NA,Upeneus guttatus
Moolgarda crenilabis,1865528,Moolgarda crenilabis
Amblyrhynchote honckenii,1805560,Amblyrhynchote honckenii
NA,NA,Trypauchenopsis intermedia
Vanderhorstia phaeostictus,1578200,Vanderhorstia phaeostictus
NA,NA,Alosa suworowi
Herklotsichthys spilurus,1621413,Herklotsichthys spilurus
NA,NA,Chrysichthys furcatus
Epinephelus altivelis,304690,Epinephelus altivelis
NA,NA,Mycteroperca albomarginatus
NA,NA,Mycteroperca andersoni
NA,NA,Mycteroperca caninus
Mycteroperca costae,883342,Mycteroperca costae
Mycteroperca marginata,883341,Mycteroperca marginata
NA,NA,Mycteroperca goreensis
NA,NA,Mycteroperca heniochus
NA,NA,Mycteroperca morrhua
NA,NA,Mycteroperca poecilonotus
NA,NA,Mycteroperca posteli
NA,NA,Mycteroperca radiatus
NA,NA,Cephalopholis albomarginata
NA,NA,Plectropomus powelli
NA,NA,Hyporthodus dermopterus
Actinopyga agassizi,1304399,Actinopyga agassizi
Facciolella oxyrhyncha,1621410,Facciolella oxyrhyncha
NA,NA,Holothuria theeli
NA,NA,Alosa agone
Encrasicholina pseudoheteroloba,1529163,Encrasicholina pseudoheteroloba
Muraenichthys hattae,311632,Muraenichthys hattae
NA,NA,Nettenchelys bellottii
NA,NA,Ophichthus sangjuensis
Pseudophichthys macroporis,1495665,Pseudophichthys macroporis
NA,NA,Saurenchelys elongata
Uropterygius alboguttatus,212035,Uropterygius alboguttatus
Hemitrygon bennettii,1042846,Hemitrygon bennetti
Owstonia doryptera,1486862,Owstonia doryptera
Etrumeus jacksoniensis,308316,Etrumeus jacksoniensis
Spratelloides atrofasciatus,300572,Spratelloides atrofasciatus
Acentronura australe,276232,Acentronura australe
Gymnelus barsukovi,254586,Gymnelus barsukovi
Iluocoetes elongatus,281172,Iluocoetes elongatus
Neomerinthe rotunda,276266,Neomerinthe rotunda
Pelates sexlineatus,274001,Pelates sexlineatus
Paralichthys schmitti,275819,Paralichthys schmitti
NA,NA,Gobiesox multitentaculus
Nectamia zebrinus,1592767,Nectamia zebrinus
NA,NA,Pungitius tymensis
Acentronura larsonae,276233,Acentronura larsonae
Acentronura lumnitzeri,1577683,Acentronura lumnitzeri
Dichichthys albimarginatus,1846222,Dichichthys albimarginatus
Coryogalops bretti,273428,Coryogalops bretti
Numenius arquata,159037,Numenius arquata
Pelecanus philippensis,343936,Pelecanus philippensis
NA,NA,Esacus recurvirostris
Oxyurichthys longicauda,303403,Oxyurichthys longicauda
NA,NA,Oxyurichthys nuchalis
Trimma omanensis,1592751,Trimma omanensis
Lissonanchus lusheri,1621600,Lissonanchus lusheri
Epinephelus moara,304747,Epinephelus moara
Larus relictus,343918,Larus relictus
NA,NA,Salicornia mossambicensis
NA,NA,Gymnogobius scrobiculatus
NA,NA,Luciogobius ryukyuensis
NA,NA,Biancaea decapetala
Pelecanus crispus,137175,Pelecanus crispus
Hime formosanus,318484,Hime formosanus
Chlorophthalmus productus,299932,Chlorophthalmus productus
Ipnops pristibrachium,308658,Ipnops pristibrachium
Lestidiops extrema,1621420,Lestidiops extrema
Lestidiops indopacifica,1621417,Lestidiops indopacifica
Saurida grandisquamis,272112,Saurida grandisquamis
Synodus houlti,300015,Synodus houlti
Paratrachichthys sajademalensis,282121,Paratrachichthys sajademalensis
Lophotus guntheri,398378,Lophotus guntheri
Trachipterus arawatae,221404,Trachipterus arawatae
NA,NA,Awaous acritosus
NA,NA,Sicyopus discordipinnis
NA,NA,Stiphodon rutilaureus
NA,NA,Neochanna cleaveri
NA,NA,Zenarchopterus novaeguineae
Thymichthys politus,475059,Thymichthys politus
Pseudocaranx cheilio,713335,Pseudocaranx cheilio
Seriola aureovittata,302501,Seriola aureovittata
Seriola dorsalis,302510,Seriola dorsalis
Acentrogobius madraspatensis,312539,Acentrogobius madraspatensis
Acentrogobius signatus,312546,Acentrogobius signatus
NA,NA,Acentrogobius veliensis
NA,NA,Aulopareia ocellata
Gobiopsis macrostomus,311035,Gobiopsis macrostomus
Drombus bontii,311469,Drombus bontii
Paracitharus macrolepis,219789,Paracitharus macrolepis
Dagetichthys albomaculatus,403340,Dagetichthys albomaculatus
NA,NA,Poecilobothrus majesticus
Myliobatis californicus,298810,Myliobatis californicus
Caliraja cortezensis,1803739,Caliraja cortezensis
NA,NA,Caliraja inornata
Hongeo koreana,1592816,Hongeo koreana
Orbiraja philipi,1865535,Orbiraja philipi
Dichichthys melanobranchus,317756,Dichichthys melanobranchus
NA,NA,Rostroraja bahamensis
Chiloscyllium hasselti,311151,Chiloscyllium hasselti
Chiloscyllium burmensis,1593903,Chiloscyllium burmensis
Caliraja stellulata,1803740,Caliraja stellulata
Dentiraja falloarga,1592590,Dentiraja falloarga
Narcinops ornata,1486854,Narcinops ornata
NA,NA,Lentipes mekonggaensis
Charadrius obscurus,366852,Charadrius obscurus
NA,NA,Zenarchopterus caudovittatus
NA,NA,Smilosicyopus leprurus
Percalates colonorum,320151,Percalates colonorum
Micropogonias manni,275308,Micropogonias manni
Lampanyctus bensoni,301511,Lampanyctus bensoni
Lampanyctus gemmifer,301521,Lampanyctus gemmifer
Triphoturus microchir,312124,Triphoturus microchir
Phoeniconaias minor,212710,Phoeniconaias minor
NA,NA,Doryichthys boaja
NA,NA,Apus balstoni
NA,NA,Scotopelia peli
Dasyscopelus orientalis,317661,Dasyscopelus orientalis
Tarletonbeania tenua,315747,Tarletonbeania tenua
NA,NA,Suriana maritima
NA,NA,Anas laysanensis
NA,NA,Telespiza ultima
Leucocarbo onslowi,1773448,Leucocarbo onslowi
Thalasseus bernsteini,413042,Thalasseus bernsteini
NA,NA,Corythornis thomensis
NA,NA,Corythornis nais
NA,NA,Tachybaptus pelzelnii
Egretta sacra,446493,Egretta sacra
NA,NA,Hypotaenidia torquata
Anarhynchus frontalis,366856,Anarhynchus frontalis
NA,NA,Anthus campestris
NA,NA,Dendrocygna arcuata
Cygnus atratus,225915,Cygnus atratus
NA,NA,Branta leucopsis
NA,NA,Cereopsis novaehollandiae
NA,NA,Grus vipio
NA,NA,Gallirallus australis
Charadrius asiaticus,212612,Charadrius asiaticus
NA,NA,Ardeola ralloides
NA,NA,Ciconia boyciana
NA,NA,Corvus monedula
NA,NA,Argya squamiceps
NA,NA,Anthreptes gabonicus
NA,NA,Anthus petrosus
NA,NA,Anthus spinoletta
NA,NA,Agelasticus thilius
NA,NA,Alauda arvensis
NA,NA,Megapodius eremita
NA,NA,Tadorna cristata
NA,NA,Nyctanassa violacea
Phoenicopterus chilensis,990418,Phoenicopterus chilensis
NA,NA,Oenanthe leucura
NA,NA,Ploceus pelzelni
NA,NA,Ploceus aurantius
NA,NA,Quiscalus niger
NA,NA,Quiscalus lugubris
NA,NA,Oenanthe oenanthe
NA,NA,Taeniopygia guttata
Puffinus bryani,1753854,Puffinus bryani
NA,NA,Rallus crepitans
NA,NA,Puffinus bailloni
Diomedea amsterdamensis,405082,Diomedea amsterdamensis
Hydrobates castro,1806345,Hydrobates castro
NA,NA,Hydrobates jabejabe
Hydrobates leucorhous,1773443,Hydrobates leucorhous
Hydrobates cheimomnestes,1739466,Hydrobates cheimomnestes
Hydrobates socorroensis,1739458,Hydrobates socorroensis
NA,NA,Puffinus myrtae
Aipysurus pooleorum,344018,Aipysurus pooleorum
NA,NA,Bucephala clangula
Catharacta skua,137170,Catharacta skua
Catharacta chilensis,225762,Catharacta chilensis
Catharacta maccormicki,159073,Catharacta maccormicki
Larus scoresbii,225930,Larus scoresbii
Saundersilarus saundersi,1750257,Saundersilarus saundersi
Thalasseus maximus,413040,Thalasseus maximus
Thalasseus bengalensis,413039,Thalasseus bengalensis
Thalasseus bergii,413041,Thalasseus bergii
Gygis microrhyncha,405104,Gygis microrhyncha
NA,NA,Microcarbo melanoleucos
Pachyptila crassirostris,225781,Pachyptila crassirostris
NA,NA,Ardenna pacifica
NA,NA,Ardenna bulleri
Ardenna creatopus,1674258,Ardenna creatopus
NA,NA,Ardenna tenuirostris
NA,NA,Puffinus bannermani
NA,NA,Hydrobates microsoma
NA,NA,Hydrobates tethys
NA,NA,Hydrobates monorhis
NA,NA,Hydrobates macrodactylus
NA,NA,Hydrobates matsudairae
NA,NA,Hydrobates homochroa
NA,NA,Melanitta stejnegeri
NA,NA,Hydrobates monteiroi
Pterodroma gouldi,1773483,Pterodroma gouldi
NA,NA,Oceanites pincoyae
NA,NA,Gelochelidon macrotarsa
Catharacta antarctica,343933,Catharacta antarctica
Anous albivittus,1773425,Anous albivittus
NA,NA,Anous ceruleus
NA,NA,Urile urile
Gulosus aristotelis,1704278,Gulosus aristotelis
NA,NA,Nannopterum harrisi
NA,NA,Nannopterum brasilianum
NA,NA,Nannopterum auritum
NA,NA,Leucocarbo bougainvilliorum
Leucocarbo atriceps,1603882,Leucocarbo atriceps
NA,NA,Leucocarbo verrucosus
Leucocarbo chalconotus,1610891,Leucocarbo chalconotus
Leucocarbo colensoi,1773446,Leucocarbo colensoi
Leucocarbo campbelli,1773445,Leucocarbo campbelli
Leucocarbo ranfurlyi,1773451,Leucocarbo ranfurlyi
Leucocarbo magellanicus,1674784,Leucocarbo magellanicus
NA,NA,Poikilocarbo gaimardi
NA,NA,Urile penicillatus
NA,NA,Hydrophis zweifeli
NA,NA,Stolephorus oceanicus
NA,NA,Bryconalestes longipinnis
NA,NA,Notoglanidium akiri
NA,NA,Chrysichthys maurus
NA,NA,Citharinus eburneensis
NA,NA,Enteromius ablabes
NA,NA,Poropanchax scheeli
Ninnigobius canestrinii,1605283,Ninnigobius canestrinii
Posidonia oceanica,145794,Posidonia oceanica
Pseudoscopelus albeolus,398594,Pseudoscopelus albeolus
Astronesthes barbatus,1493215,Astronesthes barbatus
Bathophilus longipes,306688,Bathophilus longipes
NA,NA,Quiscalus major
NA,NA,Melospiza melodia
NA,NA,Lophiodes lugubris
NA,NA,Cygnus buccinator
NA,NA,Mareca americana
Anas rubripes,159170,Anas rubripes
NA,NA,Coregonus widegreni
NA,NA,Geothlypis trichas
NA,NA,Plectrophenax hyperboreus
NA,NA,Plectrophenax nivalis
NA,NA,Calcarius lapponicus
NA,NA,Anthus cervinus
Paraphyonus brevidorsalis,1805558,Paraphyonus brevidorsalis
Astronesthes formosana,1567211,Astronesthes formosana
NA,NA,Diancistrus typhlops
NA,NA,Sturnus vulgaris
Diplophos proximus,306634,Diplophos proximus
NA,NA,Luscinia svecica
NA,NA,Melamphaes succedanaus
NA,NA,Cistothorus palustris
NA,NA,Tachycineta thalassina
NA,NA,Eremophila alpestris
NA,NA,Corvus ossifragus
NA,NA,Corvus sinaloae
NA,NA,Corvus caurinus
NA,NA,Spatula discors
NA,NA,Aythya americana
Cynoglossus quadrilineatus,305630,Cynoglossus quadrilineatus
Bucephala albeola,159179,Bucephala albeola
Lophodytes cucullatus,159094,Lophodytes cucullatus
Aythya valisineria,159173,Aythya valisineria
NA,NA,Machetornis rixosa
Calidris minuta,212600,Calidris minuta
Numenius phaeopus,159040,Numenius phaeopus
Ammospiza maritima,1451669,Ammospiza maritima
NA,NA,Ammospiza nelsoni
Phoenicopterus ruber,212708,Phoenicopterus ruber
Aechmophorus clarkii,1264668,Aechmophorus clarkii
Aechmophorus occidentalis,366617,Aechmophorus occidentalis
NA,NA,Aythya affinis
NA,NA,Loricaria parnahybae
NA,NA,Stelgidopteryx serripennis
NA,NA,Stelgidopteryx ridgwayi
NA,NA,Ambrosia maritima
Chara aspera,399466,Chara aspera
Stomias pacificus,1595101,Stomias pacificus
Plectorhinchus griseus,303417,Plectorhinchus griseus
Chiasmodon lavenbergi,398590,Chiasmodon lavenbergi
Pseudoscopelus odontoglossum,1592563,Pseudoscopelus odontoglossum
Ophioscion gomezi,1493902,Ophioscion gomezi
NA,NA,Catathyridium grandirivi
NA,NA,Gonialosa modesta
Sardinella dayi,300556,Sardinella dayi
Alosa pontica,126416,Alosa pontica
Bothus thompsoni,305596,Bothus thompsoni
NA,NA,Odaxothrissa mento
Zearaja brevicaudata,1865513,Zearaja brevicaudata
Gobiodon albolineatus,219481,Gobiodon albolineatus
Dracogyra subfuscus,1047861,Dracogyra subfuscus
Podiceps gallardoi,366611,Podiceps gallardoi
Calidris temminckii,366591,Calidris temminckii
Cynoglossus brachycephalus,219849,Cynoglossus brachycephalus
Cynoglossus cleopatridis,713834,Cynoglossus cleopatridis
Cynoglossus microphthalmus,305618,Cynoglossus microphthalmus
Cynoglossus praecisus,305627,Cynoglossus praecisus
Cynoglossus versicolor,219843,Cynoglossus versicolor
Symphurus holothuriae,305638,Symphurus holothuriae
NA,NA,Symphurus septemstriata
NA,NA,Lentipes venustus
NA,NA,Stenogobius beauforti
NA,NA,Stenogobius hoesei
NA,NA,Stenogobius laterisquamatus
NA,NA,Stenogobius psilosinionus
NA,NA,Stenogobius watsoni
NA,NA,Stiphodon larson
Galatea tenuicula,494752,Galatea tenuicula
Angiola lineata,224584,Angiola lineata
Galatea bengoensis,494742,Galatea bengoensis
NA,NA,Coelatura essoensis
NA,NA,Atyoida bisulcata
Galatea cailliaudii,494745,Galatea cailliaudi
NA,NA,Galatea bernardii
Thalassodendron leptocaule,1356626,Thalassodendron leptocaule
Labeo heladiva,1493705,Labeo heladiva
Assiminea hessei,742542,Assiminea hessei
Cyrenoida dupontia,505300,Cyrenoida dupontia
NA,NA,Hydrobia lineata
Potamopyrgus ciliatus,1338591,Potamopyrgus ciliatus
Nereina afra,873795,Nereina afra
NA,NA,Vitta cristata
Vitta glabrata,1362570,Vitta glabrata
Pachymelania aurita,225190,Pachymelania aurita
NA,NA,Pachymelania byronensis
Pachymelania fusca,224760,Pachymelania fusca
NA,NA,Batagur affinis
Pelliciera rhizophorae,344746,Pelliciera rhizophorae
Calidris acuminata,225955,Calidris acuminata
Aythya nyroca,416686,Aythya nyroca
Puffinus newelli,344628,Puffinus newelli
Vanellus leucurus,567427,Vanellus leucurus
Egretta gularis,212665,Egretta gularis
NA,NA,Spatula clypeata
Charadrius leschenaultii,212616,Charadrius leschenaultii
NA,NA,Anas acuta
Rallus longirostris,159745,Rallus longirostris
Egretta rufescens,422580,Egretta rufescens
Calidris canutus,147433,Calidris canutus
NA,NA,Zapornia pusilla
NA,NA,Fulica atra
Chlidonias hybrida,137135,Chlidonias hybrida
NA,NA,Charadrius dealbatus
NA,NA,Ardenna grisea
NA,NA,Calidris virgata
Pluvialis apricaria,159135,Pluvialis apricaria
NA,NA,Anthus pratensis
NA,NA,Motacilla citreola
NA,NA,Poecile palustris
NA,NA,Curruca mystacea
NA,NA,Falco columbarius
Thalasseus sandvicensis,413044,Thalasseus sandvicensis
Larus armenicus,343904,Larus armenicus
NA,NA,Ardea cinerea
NA,NA,Tadorna tadorna
NA,NA,Aythya fuligula
Larus genei,137143,Larus genei
Dendrocygna arborea,422568,Dendrocygna arborea
Calidris alba,159084,Calidris alba
NA,NA,Charadrius atrifrons
NA,NA,Alauda gulgula
Platalea minor,1753853,Platalea minor
Tringa brevipes,567469,Tringa brevipes
Egretta eulophotes,446492,Egretta eulophotes
Limosa limosa,159035,Limosa limosa
NA,NA,Calidris pygmaea
Atherina caspia,299843,Atherina caspia
NA,NA,Spatula querquedula
NA,NA,Ardea purpurea
Tringa erythropus,159029,Tringa erythropus
Tringa stagnatilis,212623,Tringa stagnatilis
Chloephaga hybrida,225985,Chloephaga hybrida
Haematopus ostralegus,147436,Haematopus ostralegus
NA,NA,Hydrobates tristrami
NA,NA,Pelecanoides whenuahouensis
Haematopus finschi,1436385,Haematopus finschi
NA,NA,Anthus rubescens
NA,NA,Apus pallidus
Ardenna carneipes,1611300,Ardenna carneipes
Phoenicopterus roseus,212709,Phoenicopterus roseus
NA,NA,Phoenicurus ochruros
Urile pelagicus,1752629,Urile pelagicus
NA,NA,Remiz pendulinus
NA,NA,Hydrobates hornbyi
NA,NA,Hydrobates markhami
NA,NA,Anatirostrum profundorum
NA,NA,Benthophiloides turcomanus
NA,NA,Benthophilus baeri
NA,NA,Benthophilus ctenolepidus
NA,NA,Benthophilus kessleri
NA,NA,Benthophilus leptocephalus
NA,NA,Benthophilus leptorhynchus
Benthophilus svetovidovi,273424,Benthophilus svetovidovi
NA,NA,Ponticola goebelii
Vanellus spinosus,212620,Vanellus spinosus
NA,NA,Anser caerulescens
NA,NA,Hypotaenidia philippensis
NA,NA,Jynx torquilla
Calyptogena magnifica,464366,Calyptogena magnifica
NA,NA,Mytilopsis africana
Iphigenia curta,1346728,Iphigenia curta
Platichthys luscus,1534355,Platichthys luscus
Pleuronichthys lighti,315303,Pleuronichthys lighti
NA,NA,Azygopus flemingi
Zebrias annularis,1623045,Zebrias annularis
NA,NA,Leptachirus alleni
NA,NA,Leptachirus lorentz
NA,NA,Leptachirus robertsi
Pseudaesopia callizona,1623759,Pseudaesopia callizona
NA,NA,Phyllichthys munroi
Pogonias courbina,1622275,Pogonias courbina
NA,NA,Benthophilus ragimovi
Gobius ophiocephalus,303234,Gobius ophiocephalus
Pseudaspius hakonensis,1572045,Pseudaspius hakonensis
NA,NA,Coregonus subautumnalis
NA,NA,Oncorhynchus penshinensis
Salvelinus albus,274351,Salvelinus albus
NA,NA,Salvelinus drjagini
NA,NA,Silurus asotus
Acentrogobius gracilis,312531,Acentrogobius gracilis
Oligolepis jaarmani,278545,Oligolepis jaarmani
