sciname,aphia_id
Chondrus elatus,371697
Erimacrus isenbeckii,440405
Acanthopagrus bifasciatus,218589
Lethrinus ornatus,278636
Melamphaes microps,127268
Tenualosa macrura,278569
Pachygrapsus marmoratus,107455
Cyclothone obscura,127287
Dalophis boulengeri,271931
Chaetodon speculum,218740
Hypleurochilus langi,276315
Hemibagrus wyckioides,1014275
Parapercis clathrata,276987
Pycnochromis dimidiatus,1551089
Charybdis hellerii,NA
Schizothorax molesworthi,1017390
Ophichthus frontalis,271952
Pagurus bernhardus,107232
Crossaster papposus,124154
Platystomatichthys sturio,1021343
Velella velella,117832
Atlantopandalus propinqvus,158351
Nucula nucleus,140590
Tetraselmis suecica,163447
Aulostomus chinensis,217964
Trachysalambria malaiana,377688
Saccharina angustata,377078
Copella nattereri,1017556
Notorynchus cepedianus,217628
Coregonus artedi,158725
Pentanemus quinquarius,282202
Pentaceros richardsoni,313240
Lepidotrigla dieuzeidei,127265
Turbo sarmaticus,413374
Rhincodon typus,105847
Coregonus albula,127178
Acanthistius brasilianus,278720
Pseudupeneus prayensis,126987
Hippoglossus hippoglossus,127138
Ostrea edulis,140658
Rochia nilotica,1251282
Branta bernicla,159175
Pyrosoma atlanticum,137250
Isosecuriflustra angusta,471921
Daption capense,212640
Mirogrex terraesanctae,1014158
Ageneiosus polystictus,1017152
Ameiurus brunneus,1020249
Antennatus flagellatus,279162
Argyrosomus amoyensis,273781
Atractosteus tristoechus,405353
Labeobarbus tropidolepis,1014241
Belonoglanis brieni,1012369
Breviraja colesi,275411
Callochromis macrops,1015838
Caulolatilus microps,159404
Chalinochromis brichardi,1011560
Chlidichthys bibulus,218312
Clinoporus biporosus,219193
Coryphaenoides guentheri,158958
Cyclopharynx fwae,1014298
Danio rerio,1026595
Diplacanthopoma japonicum,400667
Leiuranus versicolor,310967
Epinephelus quoyanus,218252
Eustomias furcifer,127343
Gasterosteus crenobiontus,1013999
Gomphosus varius,218975
Gyrinomimus andriashevi,234811
Hemiglyphidodon plagiometopon,212961
Hintonia candens,234733
Hypopygus lepturus,1013661
Johnius coitor,276104
Lactophrys trigonus,158931
Lepidotrigla microptera,274905
Liparis gibbus,159526
Lycodes reticulatus,127112
Melanostomias tentaculatus,127364
Monocentris japonica,221357
Myxodes cristatus,281627
Neoepinnula americana,159712
Notropis dorsalis,1017717
Monacoa grimaldii,319394
Pachypops trifilis,281965
Paraluteres prionurus,220065
Brochiraja spinifera,279997
Chrosomus neogaeus,1020838
Plesienchelys stehmanni,282286
Potamotrygon magdalenae,881606
Pseudoblennius zonostigma,282412
Pterotolithus lateoides,282506
Dipturus nidarosiensis,105871
Rhinobatos punctifer,213641
Salmo carpio,1016172
Scombrops boops,220088
Serranus hepatus,127042
Spathodus erythrodon,1018956
Stethojulis albovittata,219058
Synodus evermanni,272124
Thyrsitoides marleyi,219698
Trachyglanis ineac,1014081
Uegitglanis zammaranoi,1016613
Wattsia mossambica,218586
Eusphyra blochii,280757
Arenaeus mexicanus,442764
Panulirus penicillatus,210358
Eualus sinensis,515236
Heterocarpus dorsalis,210445
Daphnia nivalis,NA
Sicyonia aliaffinis,377622
Glyphocrangon spinulosa,515719
Octopus selene,342026
Alloteuthis africana,225555
Anadara reinharti,504328
Semele radiata,216510
Donax semistriatus,139601
Fragum fragum,207666
Pharella javanica,413603
Periglypta exclathrata,1391128
Neverita josephinia,140549
Astralium calcar,413386
Tutufa rubeta,216999
Mancinella alouina,714168
Acanthopleura granulata,386270
