assessment_id,group,sis_taxon_id,sciname,redlist_version,redlist_category,assessed_year,scope
910475,not comprehensively assessed,162530,Sepiadarium nipponianum,3.1,DD,2012,Global
910702,not comprehensively assessed,162532,Sepia dubia,3.1,DD,2012,Global
910843,not comprehensively assessed,162533,Sepia vossi,3.1,DD,2012,Global
911013,not comprehensively assessed,162535,Rhombosepion omani,3.1,LC,2012,Global
911229,not comprehensively assessed,162536,Heteroteuthis dagamensis,3.1,DD,2012,Global
911356,not comprehensively assessed,162537,Euprymna phenax,3.1,DD,2012,Global
911484,not comprehensively assessed,162538,Metasepia tullbergi,3.1,DD,2012,Global
911853,not comprehensively assessed,162539,Sepiola affinis,3.1,DD,2012,Global
912120,not comprehensively assessed,162540,Sepia tenuipes,3.1,DD,2012,Global
912308,not comprehensively assessed,162541,Sepia mascarensis,3.1,DD,2012,Global
912464,not comprehensively assessed,162542,Sepia bartletti,3.1,DD,2012,Global
912594,not comprehensively assessed,162543,Nectoteuthis pourtalesi,3.1,DD,2012,Global
912737,not comprehensively assessed,162544,Sepia mira,3.1,LC,2012,Global
912889,not comprehensively assessed,162545,Sepia tuberculata,3.1,DD,2012,Global
913028,not comprehensively assessed,162547,Idiosepius notoides,3.1,DD,2012,Global
913229,not comprehensively assessed,162548,Sepiella japonica,3.1,DD,2012,Global
913525,not comprehensively assessed,162549,Rhombosepion orbignyanum,3.1,DD,2012,Global
913995,not comprehensively assessed,162550,Sepiadarium austrinum,3.1,DD,2012,Global
914143,not comprehensively assessed,162551,Sepia faurei,3.1,DD,2012,Global
914284,not comprehensively assessed,162552,Rossia palpebrosa,3.1,LC,2012,Global
914520,not comprehensively assessed,162553,Sepia pulchra,3.1,DD,2012,Global
914661,not comprehensively assessed,162554,Sepia papuensis,3.1,LC,2012,Global
914962,not comprehensively assessed,162555,Rondeletiola capensis,3.1,DD,2012,Global
915099,not comprehensively assessed,162556,Rhombosepion prashadi,3.1,LC,2012,Global
915487,not comprehensively assessed,162557,Sepietta oweniana,3.1,DD,2012,Global
915981,not comprehensively assessed,162558,Sepia gibba,3.1,DD,2012,Global
916159,not comprehensively assessed,162559,Euprymna tasmanica,3.1,DD,2012,Global
916353,not comprehensively assessed,162560,Sepiola steenstrupiana,3.1,DD,2012,Global
916691,not comprehensively assessed,162561,Sepia insignis,3.1,DD,2012,Global
916849,not comprehensively assessed,162562,Heteroteuthis hawaiiensis,3.1,DD,2012,Global
917042,not comprehensively assessed,162563,Sepia plangon,3.1,LC,2012,Global
917228,not comprehensively assessed,162564,Sepia bertheloti,3.1,DD,2012,Global
917517,not comprehensively assessed,162565,Loligo forbesii,3.1,LC,2019,Global
918031,not comprehensively assessed,162566,Sepia hieronis,3.1,DD,2012,Global
918228,not comprehensively assessed,162567,Sepiella ornata,3.1,DD,2012,Global
918508,not comprehensively assessed,162568,Sepia irvingi,3.1,LC,2012,Global
918649,not comprehensively assessed,162569,Euprymna albatrossae,3.1,DD,2012,Global
918772,not comprehensively assessed,162570,Sepia tala,3.1,DD,2012,Global
918906,not comprehensively assessed,162571,Octopus vulgaris,3.1,LC,2018,Global
919456,not comprehensively assessed,162572,Inioteuthis japonica,3.1,DD,2012,Global
919654,not comprehensively assessed,162573,Semirossia equalis,3.1,DD,2012,Global
919974,not comprehensively assessed,162574,Sepioloidea pacifica,3.1,DD,2012,Global
920117,not comprehensively assessed,162575,Rossia megaptera,3.1,LC,2012,Global
920323,not comprehensively assessed,162576,Stoloteuthis weberi,3.1,DD,2012,Global
920458,not comprehensively assessed,162577,Sepia kiensis,3.1,DD,2012,Global
920620,not comprehensively assessed,162578,Sepia vercoi,3.1,LC,2012,Global
920760,not comprehensively assessed,162579,Rhombosepion elegans,3.1,DD,2012,Global
921303,not comprehensively assessed,162580,Sepiola rondeletii,3.1,DD,2012,Global
921723,not comprehensively assessed,162581,Sepia confusa,3.1,DD,2012,Global
921890,not comprehensively assessed,162582,Sepia chirotrema,3.1,LC,2012,Global
922038,not comprehensively assessed,162583,Sepia pardex,3.1,DD,2012,Global
