group,sis_taxon_id,assessment_id,year_published
birds,22686447,280994342,2025
birds,22684104,282308914,2025
birds,22681092,282329142,2025
birds,61769583,167851221,2025
birds,22688840,281019849,2025
birds,22707794,152663677,2025
birds,103767667,266232051,2025
birds,22714874,269492253,2025
birds,22719159,269492673,2025
birds,22682577,277506164,2025
birds,22725946,277507694,2025
birds,22688790,281025176,2025
birds,22734593,118628228,2025
birds,22696782,133505223,2025
birds,22724311,136662294,2025
birds,22724169,136670222,2025
birds,22723948,136685900,2025
birds,22723816,136691938,2025
birds,22724131,136746642,2025
birds,22729123,136762026,2025
birds,22723796,136769578,2025
birds,22722471,136807094,2025
birds,22722466,136809279,2025
birds,22722456,136812093,2025
birds,105963139,137041478,2025
birds,22721043,137359271,2025
birds,22720413,137393857,2025
birds,22720359,137396940,2025
birds,22728944,137397791,2025
birds,22720553,137402331,2025
birds,22718270,137421099,2025
birds,22719821,137423643,2025
birds,22710921,137492530,2025
birds,22711096,137500711,2025
birds,22711127,137501356,2025
birds,22711124,137501996,2025
birds,22711102,137504142,2025
birds,22711099,137505393,2025
birds,22711013,137508094,2025
birds,103845882,137574649,2025
birds,103889800,137580977,2025
birds,103886826,137616913,2025
birds,22711170,137632069,2025
birds,22711202,137632749,2025
birds,22711989,137635417,2025
birds,22711983,137636021,2025
birds,22729143,137636584,2025
birds,22711969,137661756,2025
birds,22711759,137662738,2025
birds,22711767,137663188,2025
birds,22711724,137665711,2025
birds,22711716,137666504,2025
birds,22711708,137667085,2025
birds,22712427,137674232,2025
birds,22712077,137684127,2025
birds,22712057,137687319,2025
birds,22706055,137698477,2025
birds,22705993,137723028,2025
birds,103727176,137730336,2025
birds,22724967,137733480,2025
birds,22705611,137739324,2025
birds,22705614,137743485,2025
birds,22705738,137748779,2025
birds,22700997,137809551,2025
birds,22701071,137831352,2025
birds,22700647,137873899,2025
birds,22700503,137913446,2025
birds,22700436,137946818,2025
birds,22699230,138112086,2025
birds,22732035,138333788,2025
birds,103793298,138345225,2025
birds,103792619,138354834,2025
birds,103792633,138355982,2025
birds,103810991,138424060,2025
birds,103811314,138433734,2025
birds,103811345,138434846,2025
birds,22721115,138564077,2025
birds,22725264,139346597,2025
birds,61204079,139676569,2025
birds,61204155,139678145,2025
birds,103887005,139757901,2025
birds,22712152,139825589,2025
birds,22712157,139829794,2025
birds,103727785,139835822,2025
birds,103676541,139914268,2025
birds,103683917,140044037,2025
birds,22731691,140052676,2025
birds,22724857,140564112,2025
birds,22696504,140947108,2025
birds,22696395,140950605,2025
birds,22681363,140984457,2025
birds,22726489,140986116,2025
birds,22681290,140990981,2025
birds,22726404,141035746,2025
birds,22726414,141036298,2025
birds,22726420,141037149,2025
birds,61534039,141040086,2025
birds,22681181,141042170,2025
birds,22681169,141042616,2025
birds,22681155,141048303,2025
birds,22729012,152208466,2025
birds,22689371,152232844,2025
birds,22695903,152330166,2025
birds,22680853,152355217,2025
birds,22680862,152409574,2025
birds,22680868,152410836,2025
birds,103718956,152423846,2025
birds,103723684,153832514,2025
birds,22729692,153869809,2025
birds,22702095,154043431,2025
birds,22723028,154045446,2025
birds,22680057,154248872,2025
birds,22692816,154262782,2025
birds,22693580,154294034,2025
birds,22710138,154364748,2025
birds,22691165,154365722,2025
birds,22717288,154490507,2025
birds,22735002,154499313,2025
birds,22716971,154503146,2025
birds,22680149,154562590,2025
birds,22693243,154668391,2025
birds,22708334,154681611,2025
birds,22708793,154681905,2025
birds,22710877,154682995,2025
birds,22714669,154683752,2025
birds,22715264,154684106,2025
birds,22715775,154685407,2025
birds,22716746,154685629,2025
birds,22717424,154685992,2025
birds,22734433,154686917,2025
birds,22734518,154687143,2025
birds,103727443,154688109,2025
birds,103768039,154688412,2025
birds,103837801,154689324,2025
birds,22679026,154694813,2025
birds,103891997,154732834,2025
birds,22680313,154807983,2025
birds,62774969,154819214,2025
